



T,D,P,E
援,,えん/,
様,,よう/さま,
増,,ぞう/ふえる·ふやす·ます,
寧,,ねい/,
徴,,ちょう/,
開,,かい/あく·あける·ひらく·ひらける,
慎,,しん/つつしむ,
終,,しゅう/おえる·おわる,
飾,,しょく/かざる,
料,,りょう/,
演,,えん/,
談,,だん/,
在,,ざい/ある,
集,,しゅう/あつまる·あつめる·つどう,
把,,は/,
針,,しん/はり,
仰,,ぎょう·こう/あおぐ·おおせ,
沿,,えん/そう,
戻,,れい/もどす·もどる,
口,,く·こう/くち,
雑,,ざつ·ぞう/,
調,,ちょう/しらべる·ととのう·ととのえる,
異,,い/こと,
略,,りゃく/,
振,,しん/ふる·ふるう·ふれる,
越,,えつ/こえる·こす,
軸,,じく/,
降,,こう/おりる·おろす·ふる,
抜,,ばつ/ぬかす·ぬかる·ぬく·ぬける,
普,,ふ/,
拠,,きょ·こ/,
割,,かつ/わり·わる·われる·さく,
参,,さん/まいる,
値,,ち/ね·あたい,
無,,ぶ·む/ない,
軟,,なん/やわらか·やわらかい,
複,,ふく/,
展,,てん/,
統,,とう/すべる,
優,,ゆう/すぐれる·やさしい,
入,,にゅう/いる·いれる·はいる,
